id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Shirt
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Peter England Men Party Blue Jeans
59263,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Titan Women Silver Watch
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,Manchester United Men Solid Black Track Pants
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey T-shirt
47440,Women,Apparel,Topwear,Tops,White,Spring,2013.0,Casual,H&M Women White Cotton Top
28394,Men,Apparel,Topwear,Casual Shirts,Red,Summer,2014.0,Casual,Allen Solly Men Red Checked Shirt
34582,Women,Apparel,Bottomwear,Jeans,Black,Fall,2015.0,Casual,Levis Women Black Skinny Jeans
19837,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2016.0,Casual,Nike Men Brown Leather Shoes
46291,Women,Apparel,Topwear,Dresses,Pink,Spring,2017.0,Party,Zara Women Pink Floral Dress
52847,Men,Apparel,Topwear,Polo,Green,Summer,2018.0,Sports,Adidas Men Green Polo T-shirt
38592,Women,Accessories,Bags,Handbags,Beige,Fall,2019.0,Casual,Coach Women Beige Leather Handbag
17463,Men,Apparel,Bottomwear,Shorts,Khaki,Summer,2020.0,Casual,Gap Men Khaki Cotton Shorts
41285,Women,Apparel,Topwear,Blouses,Cream,Spring,2021.0,Formal,Marks Spencer Women Cream Silk Blouse
29574,Men,Apparel,Topwear,Hoodies,Charcoal,Winter,2022.0,Casual,Puma Men Charcoal Hoodie
35816,Women,Footwear,Heels,Stilettos,Gold,Party,2023.0,Party,Steve Madden Women Gold Heels
42739,Men,Accessories,Belts,Leather Belts,Black,All,2024.0,Formal,Tommy Hilfiger Men Black Leather Belt
58391,Women,Apparel,Bottomwear,Skirts,Navy Blue,Spring,2024.0,Casual,Forever 21 Women Navy Blue A-line Skirt
23657,Men,Apparel,Topwear,Blazers,Burgundy,Fall,2023.0,Formal,Hugo Boss Men Burgundy Blazer
47829,Women,Apparel,Topwear,Sweaters,Lavender,Winter,2024.0,Casual,H&M Women Lavender Knit Sweater
31945,Men,Footwear,Sneakers,Sports Shoes,White,All,2024.0,Sports,Nike Men White Air Max Sneakers
54782,Women,Accessories,Jewelry,Necklaces,Rose Gold,All,2024.0,Party,Tiffany Women Rose Gold Necklace
18356,Men,Apparel,Bottomwear,Chinos,Olive,Summer,2024.0,Casual,Zara Men Olive Chino Pants
46193,Women,Apparel,Topwear,Tank Tops,Turquoise,Summer,2024.0,Casual,Gap Women Turquoise Tank Top
27485,Men,Apparel,Topwear,Henley,Maroon,Fall,2024.0,Casual,J.Crew Men Maroon Henley
39674,Women,Footwear,Flats,Ballet Flats,Nude,Spring,2024.0,Casual,Tory Burch Women Nude Ballet Flats
52138,Men,Accessories,Watches,Sports Watches,Silver,All,2024.0,Sports,Casio Men Silver Sports Watch
43827,Women,Apparel,Bottomwear,Leggings,Black,All,2024.0,Sports,Lululemon Women Black Yoga Leggings
16592,Men,Apparel,Topwear,Cardigans,Grey,Winter,2024.0,Casual,Uniqlo Men Grey Wool Cardigan
48375,Women,Apparel,Topwear,Jackets,Camel,Fall,2024.0,Casual,Zara Women Camel Trench Coat